date,open,high,low,close,volume
2017-11-28,15743.0,15742.0,15000.0,15166.0,1123018
2017-11-29,15166.0,15166.0,14699.0,14711.0,6698399
2017-12-02,14711.0,15199.0,14887.0,14916.0,397600
2017-12-03,14916.0,15257.0,15090.0,15002.0,254751
2017-12-04,15002.0,15250.0,15157.0,15074.0,284059
2017-12-05,15074.0,15300.0,15051.0,15209.0,552096
2017-12-09,15209.0,15280.0,15180.0,15214.0,292344
2017-12-10,15214.0,15349.0,15001.0,15105.0,1927885
2017-12-11,15105.0,15395.0,15071.0,15194.0,723291
2017-12-12,15194.0,15350.0,14960.0,15032.0,2337910
2017-12-13,15032.0,15364.0,14980.0,15135.0,1901705
2017-12-16,15135.0,15500.0,15201.0,15478.0,3481853
2017-12-17,15478.0,15420.0,15071.0,15120.0,837246
2017-12-18,15120.0,15333.0,15050.0,15105.0,515365
2017-12-19,15105.0,15325.0,15100.0,15157.0,509174
2017-12-20,15157.0,15295.0,15100.0,15154.0,1464304
2017-12-23,15154.0,15299.0,15130.0,15202.0,431117
2017-12-24,15202.0,15278.0,15118.0,15160.0,1019346
2017-12-25,15160.0,15270.0,15116.0,15161.0,4203132
2017-12-26,15161.0,15200.0,15117.0,15157.0,2769949
2017-12-27,15157.0,15300.0,15150.0,15197.0,449889
2017-12-30,15197.0,15245.0,15123.0,15159.0,965740
2017-12-31,15159.0,15250.0,14402.0,15031.0,4128537
2018-01-01,15031.0,15435.0,15113.0,15192.0,2690276
2018-01-02,15192.0,15399.0,15200.0,15289.0,1943655
2018-01-03,15289.0,15555.0,15228.0,15417.0,2434523
2018-01-06,15417.0,15600.0,15300.0,15407.0,544127
2018-01-07,15407.0,15590.0,15305.0,15441.0,968484
2018-01-08,15441.0,15700.0,15500.0,15600.0,664662
2018-01-09,15600.0,15858.0,15700.0,15812.0,753229
2018-01-10,15812.0,15940.0,15801.0,15858.0,383978
2018-01-13,15858.0,16299.0,15890.0,16117.0,661138
2018-01-14,16117.0,16900.0,16355.0,16712.0,852395
2018-01-15,16712.0,16780.0,16450.0,16623.0,335680
2018-01-16,16623.0,16570.0,16350.0,16497.0,486012
2018-01-17,16497.0,16778.0,16399.0,16497.0,3803243
2018-01-20,16497.0,16720.0,16400.0,16550.0,568691
2018-01-21,16550.0,16745.0,16450.0,16567.0,258829
2018-01-22,16567.0,16700.0,16499.0,16576.0,298701
2018-01-23,16576.0,16582.0,16407.0,16489.0,800694
2018-01-24,16489.0,16580.0,16225.0,16437.0,825636
2018-01-27,16437.0,16750.0,16500.0,16683.0,654752
2018-01-28,16683.0,17150.0,16750.0,17079.0,1099074
2018-01-29,17079.0,17640.0,17324.0,17478.0,798216
2018-01-30,17478.0,17997.0,17736.0,17856.0,1146609
2018-01-31,17856.0,18380.0,18001.0,18138.0,1250636
2018-02-03,18138.0,18459.0,17606.0,17787.0,1326818
2018-02-04,17787.0,17900.0,17251.0,17789.0,258347
2018-02-05,17789.0,17820.0,17050.0,17207.0,781564
2018-02-06,17207.0,17390.0,16400.0,16685.0,1569669
2018-02-07,16685.0,17000.0,16504.0,16803.0,730455
2018-02-10,16803.0,16980.0,16700.0,16820.0,375324
2018-02-12,16820.0,16999.0,16654.0,16843.0,334983
2018-02-13,16843.0,16999.0,16656.0,16846.0,340662
2018-02-14,16846.0,17089.0,16950.0,16986.0,409966
2018-02-17,16986.0,17197.0,17020.0,17072.0,458137
2018-02-18,17072.0,17190.0,16508.0,16960.0,359557
2018-02-19,16960.0,17199.0,16977.0,17061.0,618653
2018-02-21,17061.0,17329.0,17000.0,17165.0,1197310
2018-02-24,17165.0,17499.0,17202.0,17376.0,792013
